"V1","V2","V3","V4"
30.09747505,-84.17896271,29.93704414,-83.69767761
29.93704414,-83.69767761,29.57608223,-83.39400482
29.57608223,-83.39400482,29.18647003,-82.97574615
29.18647003,-82.97574615,29.05468941,-82.7408371
29.05468941,-82.7408371,28.86561203,-82.67781067
28.86561203,-82.67781067,28.21244049,-82.77521515
28.21244049,-82.77521515,27.85147858,-82.7866745
27.85147858,-82.7866745,27.77699471,-82.63770294
27.77699471,-82.63770294,28.02336693,-82.67781067
28.02336693,-82.67781067,27.90877533,-82.48300171
27.90877533,-82.48300171,27.8457489,-82.38559723
27.8457489,-82.38559723,27.45040703,-82.62624359
27.45040703,-82.62624359,26.82588387,-82.2137146
26.82588387,-82.2137146,26.99777031,-82.2366333
26.99777031,-82.2366333,26.93474579,-82.09339905
26.93474579,-82.09339905,26.48783875,-81.99025726
26.48783875,-81.99025726,26.32741165,-81.85274506
26.32741165,-81.85274506,25.92061043,-81.67513275
25.92061043,-81.67513275,25.65705109,-81.28552246
25.65705109,-81.28552246,25.38203049,-81.06207275
25.38203049,-81.06207275,25.24452019,-80.9360199
25.24452019,-80.9360199,25.23306084,-81.02196503
25.23306084,-81.02196503,25.26743889,-81.18239594
25.26743889,-81.18239594,25.13565826,-80.99330902
25.13565826,-80.99330902,25.30181503,-80.39170837
25.30181503,-80.39170837,25.78310013,-80.16252136
25.78310013,-80.16252136,27.01496124,-80.09377289
27.01496124,-80.09377289,28.78539848,-80.82715607
28.78539848,-80.82715607,28.80831718,-80.78704834
28.80831718,-80.78704834,30.09747505,-81.33135986
30.09747505,-81.33135986,30.68762016,-81.52616119
30.68762016,-81.52616119,31.01993561,-81.44021606
31.01993561,-81.44021606,31.04858208,-81.44021606
31.04858208,-81.44021606,31.12879562,-81.47460175
31.12879562,-81.47460175,31.3407917,-81.40584564
31.3407917,-81.40584564,31.53559875,-81.21103668
31.53559875,-81.21103668,31.5241375,-81.28552246
31.5241375,-81.28552246,31.69029427,-81.13655853
31.69029427,-81.13655853,31.73040199,-81.12509155
31.73040199,-81.12509155,31.85645294,-81.09072113
31.85645294,-81.09072113,32.03979874,-80.8901825
32.03979874,-80.8901825,32.26898193,-80.71256256
32.26898193,-80.71256256,32.25179291,-80.78704834
32.25179291,-80.78704834,32.39503479,-80.76412964
32.39503479,-80.76412964,32.34346771,-80.56359863
32.34346771,-80.56359863,32.46951675,-80.52922058
32.46951675,-80.52922058,32.74453735,-79.9046936
32.74453735,-79.9046936,32.82475281,-79.89323425
32.82475281,-79.89323425,32.87631989,-79.67550659
32.87631989,-79.67550659,33.24874115,-79.2171402
33.24874115,-79.2171402,33.31749725,-79.22286987
33.31749725,-79.22286987,33.86753464,-78.5582428
33.86753464,-78.5582428,33.98212814,-77.9623642
33.98212814,-77.9623642,34.06233978,-77.90506744
34.06233978,-77.90506744,34.00504684,-77.88788605
34.00504684,-77.88788605,34.45768356,-77.5269165
34.45768356,-77.5269165,34.5608139,-77.412323
34.5608139,-77.412323,34.70978165,-77.38368225
34.70978165,-77.38368225,34.5608139,-77.28054047
34.5608139,-77.28054047,34.73270035,-77.13730621
34.73270035,-77.13730621,34.7899971,-76.72477722
34.7899971,-76.72477722,34.77853775,-76.48986816
34.77853775,-76.48986816,35.00199127,-76.30651855
35.00199127,-76.30651855,34.99626541,-76.40392303
34.99626541,-76.40392303,35.00199127,-76.48413849
35.00199127,-76.48413849,35.00199127,-76.56435394
35.00199127,-76.56435394,34.95042801,-76.58726501
34.95042801,-76.58726501,34.93323898,-76.66175842
34.93323898,-76.66175842,34.92750931,-76.799263
34.92750931,-76.799263,35.07647705,-76.97688293
35.07647705,-76.97688293,35.02490997,-76.70186615
35.02490997,-76.70186615,35.15095901,-76.59872437
35.15095901,-76.59872437,35.31138992,-76.54142761
35.31138992,-76.54142761,35.30565643,-76.65029907
35.30565643,-76.65029907,35.50619507,-76.99979401
35.50619507,-76.99979401,35.42598343,-76.59299469
35.42598343,-76.59299469,35.55203247,-76.63310242
35.55203247,-76.63310242,35.50619507,-76.46694946
35.50619507,-76.46694946,35.3858757,-76.51851654
35.3858757,-76.51851654,35.3858757,-76.39246368
35.3858757,-76.39246368,35.38014603,-76.06015015
35.38014603,-76.06015015,35.56349182,-75.82523346
35.56349182,-75.82523346,35.83278275,-75.73355865
35.83278275,-75.73355865,35.90153885,-75.88253021
35.90153885,-75.88253021,35.90153885,-75.95701599
35.90153885,-75.95701599,35.65516663,-76.07733917
35.65516663,-76.07733917,35.69527054,-76.10598755
35.69527054,-76.10598755,35.98175049,-76.07733917
35.98175049,-76.07733917,35.97029114,-76.71904755
35.97029114,-76.71904755,36.3197937,-76.69613647
36.3197937,-76.69613647,36.04477692,-76.61592102
36.04477692,-76.61592102,36.11925888,-76.35808563
36.11925888,-76.35808563,36.16509628,-76.24922943
36.16509628,-76.24922943,36.19374084,-76.08879089
36.19374084,-76.08879089,36.29114914,-76.12889862
36.29114914,-76.12889862,36.23384857,-75.96847534
36.23384857,-75.96847534,36.15363693,-75.82523346
