City,Northing,Easting,X9.14.18,X9.21.18,X9.28.18,X10.5.18,X10.12.18,X10.19.18,X10.26.18,X11.2.18,X11.9.18,X11.16.18,X11.23.18,X11.30.18,X12.7.18,X12.14.18,X12.21.18,X12.28.18,X1.4.19,X1.11.19,X1.18.19,X1.25.19,X2.1.19,X2.8.19,X2.15.19,X2.22.19,X3.1.19,X3.8.19,X3.15.19
Dayton,39.77906,-84.19735,1.53074891890858,0.765374459454288,1.53074891890858,3.82687229727144,23.7266082430829,102.560177566875,104.856300945237,88.0180628372431,51.2800887834373,16.07286364854,3.82687229727144,9.94986797290574,12.2459913512686,25.2573571619915,31.3803528376258,16.07286364854,9.18449351345146,9.18449351345146,10.71524243236,6.88837013508859,8.41911905399717,6.1229956756343,0,8.41911905399717,12.2459913512686,9.94986797290574,0
Denver,39.76803,-104.87265,1.16963168298303,1.16963168298303,3.11901782128808,7.40766732555918,23.0027564319996,54.1929346448803,57.3119524661684,42.106740587389,39.377599993762,30.0205465298977,42.106740587389,51.4637940512533,71.7374098896258,78.3653227598629,63.5499881087446,33.5294415788468,25.3420197979656,18.3242297000674,13.6457029681353,5.06840395959312,11.3064396021693,11.6963168298303,14.4254574234574,11.3064396021693,5.45828118725413,0,0
Detroit,42.3831,-83.10219,1.30769230769231,1.23076923076923,1.98076923076923,2.09615384615385,6.67307692307692,21.2692307692308,44.4038461538462,55.1538461538462,34.0576923076923,18.2884615384615,11.1730769230769,12.7307692307692,9.82692307692308,16.3846153846154,21.9615384615385,19.0769230769231,18.1538461538462,17.4230769230769,18.9038461538462,16.6730769230769,15.5,12.1923076923077,11.2307692307692,13.1346153846154,14.9423076923077,10.1923076923077,12.6346153846154
Indianapolis,39.7764,-86.14619,1.03599388072948,2.07198776145896,3.45331293576493,8.28795104583582,15.8852395045187,44.2024055777911,39.7130987612966,29.0078286604254,20.0292150274366,16.5759020916716,21.4105402017425,34.5331293576493,24.8638531375075,22.7918653760485,14.8492456237892,11.7412639816007,13.8132517430597,8.63328233941231,8.63328233941231,9.66927622014179,8.63328233941231,7.94261975225933,9.66927622014179,11.3959326880243,0,0,0
Louisville,38.22475,-85.74115,1.23605829250907,3.70817487752722,1.64807772334543,5.76827203170902,37.905787636945,74.1634975505445,74.5755169813808,28.4293407277087,23.8971269885088,16.068757802618,14.4206800792725,25.5452047118542,22.6610686959997,37.4937682061086,22.6610686959997,15.2447189409453,9.06442747839988,8.24038861672716,8.65240804756352,12.3605829250907,8.24038861672716,7.82836918589081,7.82836918589081,15.2447189409453,14.0086606484362,36.2577099135995,46.1461762536721
Lowell,42.63871,-71.32214,0.916749938119379,7.33399950495503,29.3359980198201,85.2577442451023,129.261741274832,106.342992821848,77.0069948020279,27.5024981435814,7.33399950495503,7.33399950495503,10.0842493193132,1.83349987623876,9.16749938119379,9.16749938119379,7.33399950495503,10.0842493193132,11.9177491955519,9.16749938119379,18.3349987623876,23.8354983911039,10.0842493193132,0,16.5014988861488,3.66699975247752,11.9177491955519,8.25074944307441,4.5837496905969
Memphis,35.1056,-90.00699,0,0,0,0,51.6932779353705,117.602207302968,107.263551715894,45.8777841676413,18.7388132515718,10.9848215612662,11.6309875354584,3.87699584515279,0,17.4464813031875,18.7388132515718,0,12.9233194838426,0,0,30.3698007870302,19.3849792257639,38.7699584515279,12.2771535096505,12.9233194838426,9.69248961288197,5.81549376772918,9.04632363868983
Milwaukee,43.06335,-87.96662,0.882065621271894,1.10258202658987,2.86671326913366,3.3077460797696,15.2156319669402,24.918353800931,38.5903709306454,27.5645506647467,20.9490585052075,15.4361483722582,10.8053038605807,19.4054436679817,23.1542225583872,40.1339857678712,36.6057232827836,23.1542225583872,14.3335663456683,6.17445934890326,4.41032810635947,4.1898117010415,2.64619686381568,4.63084451167745,2.42568045849771,3.52826248508758,3.3077460797696,0,0
Minneapolis,44.96185,-93.26684,0.521591270648494,0,2.86875198856672,3.39034325921521,12.5181904955639,25.8187678971005,39.1193452986371,31.2954762389097,24.7755853558035,24.253994085155,13.3005774015366,11.7358035895911,17.9948988373731,18.5164901080216,25.0363809911277,17.7341032020488,9.64943850699715,11.7358035895911,6.25909524778193,8.34546033037591,8.08466469505166,8.08466469505166,3.65113889453946,8.86705160102441,3.65113889453946,0,0
Nashville,36.17155,-86.78482,1.67764123642159,0,2.51646185463239,4.19410309105398,108.207859749193,161.892379314684,106.530218512771,45.296313383383,44.4574927651722,12.5823092731619,13.4211298913727,19.2928742188483,21.8093360734807,23.4869773099023,24.3257979281131,18.4540536006375,16.7764123642159,14.2599505095835,17.6152329824267,17.6152329824267,14.2599505095835,12.5823092731619,13.4211298913727,19.2928742188483,15.9375917460051,15.0987711277943,9.22702680031875
