"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
396500,287500,"Rowley Regis U.D.","Rowley Regis U.D.",4.4,11.6,7.3,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,5.8,16,14.5,27.6,27.6,34.8,18.9,7.3,2.9,2.9,0,0,0,0,0,2.9,16,46.4,29,13.1,8.7,5.8,4.4,0,1.5,1.5,1.5,1.5,0
431500,265500,"Royal Leamington Spa M.B.","Royal Leamington Spa M.B.",0,0,0,1.9,1.9,0,0,0,1.9,0,0,0,0,0,0,0,0,5.7,19,39.9,43.7,43.7,9.5,17.1,3.8,0,1.9,0,0,0,3.8,1.9,1.9,3.8,0,5.7,1.9,1.9,1.9,1.9,0,0,0,0,0,0
558500,139500,"Royal Tunbridge Wells M.B.","Royal Tunbridge Wells M.B.",1.6,0,1.6,1.6,0,0,0,1.6,0,0,0,0,0,0,0,0,14.5,33.9,51.7,14.5,9.7,14.5,9.7,3.2,3.2,1.6,0,0,1.6,0,0,3.2,1.6,0,9.7,6.5,4.8,3.2,3.2,3.2,1.6,0,1.6,3.2,0,1.6
450500,275500,"Rugby U.D.","Rugby U.D.",0,4.6,6.9,0,2.3,0,0,0,0,0,0,0,0,0,0,0,18.4,23,57.5,34.5,27.6,13.8,6.9,2.3,6.9,2.3,2.3,0,0,0,0,0,0,4.6,18.4,20.7,16.1,0,2.3,0,2.3,0,0,0,0,0
380500,398500,"Salford","Salford",2.7,12.7,9.5,6,1,1.7,0.7,0.2,0.2,0.7,0,0.2,0,0,0.2,0,1.2,2.2,8,13.5,19.7,23.2,16.4,8.7,6,4,1,0.7,0.5,0,0.5,0.5,1.2,4,16.4,26.4,28.4,14.2,5.2,3.2,2,2.2,0.7,0.2,0.7,0.2
414500,130500,"Salisbury M.B.","Salisbury M.B.",0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,5,5,7.6,20.2,30.2,7.6,2.5,5,10.1,5,5,0,5,0,0,0,0,2.5,2.5,0,10.1,5,7.6,0,7.6,0,7.6,2.5,0,0,0
503500,488500,"Scarborough M.B.","Scarborough M.B.",0,5.4,7.2,1.8,1.8,0,0,0,0,0,0,1.8,0,0,0,0,1.8,3.6,5.4,19.7,19.7,21.5,18,19.7,16.2,7.2,1.8,1.8,0,1.8,0,0,3.6,3.6,0,9,12.6,1.8,3.6,0,1.8,0,0,0,0,0
435500,387500,"Sheffield","Sheffield",1.7,6.3,7.6,3.7,1.7,0.6,0.4,0.2,0,0.1,0.3,0.3,0.2,0.4,0.1,1.7,9.4,30.7,53.5,42.6,25.9,18.7,18,9,3.3,2.1,2,1.1,1,0.6,0.7,0.9,1.6,2.7,6.3,8.9,7.5,6.1,3.7,3.1,3.5,2,1.9,1.7,0.8,0.6
414500,437500,"Shipley U.D.","Shipley U.D.",0,0,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,36.2,32.2,26.2,34.2,10.1,18.1,4,0,0,0,0,0,2,0,4,14.1,12.1,20.1,8,2,4,4,0,4,0,0,0
349500,312500,"Shrewsbury M.B.","Shrewsbury M.B.",1.9,3.8,3.8,7.5,1.9,0,1.9,0,0,0,0,0,0,0,0,1.9,7.5,24.5,37.7,54.6,16.9,7.5,5.6,3.8,5.6,3.8,7.5,0,0,3.8,0,3.8,0,5.6,9.4,15.1,15.1,13.2,5.6,5.6,5.6,3.8,3.8,0,1.9,0
402500,287500,"Smethwick","Smethwick",0.8,9.2,8.4,0.8,1.5,0.8,3.1,0,0,0,0,0,0,0,0,0,0.8,2.3,7.7,16.1,23.8,27.6,28.4,20.7,6.9,3.8,3.1,1.5,0,0,0,0.8,0.8,0.8,5.4,14.6,17.7,16.1,6.1,3.1,0,0,0.8,0.8,0,0.8
436500,566500,"South Shields","South Shields",1.5,6.4,5.9,7.9,0.5,1,0.5,0.5,0.5,0.5,0,0,0,1,1,1,0,1,6.9,15.8,24.2,48.9,50.3,31.1,18.8,8.4,2.5,1,2,1.5,1,3,8.4,12.8,18.8,17.8,11.8,3,4.9,2,2,1,1.5,1,0.5,0.5
512500,180500,"Southall Norwood U.D.","Southall Norwood U.D.",0,3.5,0,3.5,3.5,0,1.8,1.8,0,0,0,0,0,0,1.8,0,3.5,7,12.3,21.1,10.5,28.1,21.1,10.5,5.3,1.8,1.8,0,1.8,0,0,0,0,1.8,1.8,7,1.8,5.3,1.8,3.5,1.8,0,0,1.8,0,0
443500,113500,"Southampton","Southampton",0,2.3,1.4,0.9,0,0.9,0.5,0.5,0,0,0.5,0.5,0.5,1.4,5,27.7,41.4,30.5,17.7,8.6,3.6,3.2,3.2,3.2,0,0.9,0,0.9,1.4,0.5,0.5,0.9,0,2.3,8.2,16.4,7.3,6.4,3.6,1.8,0.9,2.7,1.4,0.9,0,0
587500,186500,"Southend-on-Sea","Southend-on-Sea",0,0,2.9,0.7,2.2,0,0.7,2.2,0,1.5,0,0.7,1.5,0.7,2.2,2.9,11.1,25.8,22.9,19.9,6.6,7.4,2.2,5.2,2.2,4.4,0.7,2.9,2.2,1.5,1.5,0,3.7,7.4,4.4,11.8,5.2,5.9,3.7,2.2,2.2,1.5,2.2,0,2.9,0
530500,194500,"Southgate U.D.","Southgate U.D.",0,2.9,2.9,0,0,0,0,1.5,0,0,1.5,0,0,0,1.5,7.4,7.4,11.8,26.5,14.7,14.7,8.8,10.3,5.9,4.4,0,0,1.5,1.5,0,0,1.5,5.9,2.9,10.3,19.2,5.9,10.3,5.9,2.9,4.4,1.5,0,1.5,0,0
334500,417500,"Southport","Southport",0.8,0.8,4.1,1.6,3.3,0.8,0,0.8,0,0,0,0,0.8,0,0,0,7.4,10.6,22.9,27,9,11.5,10.6,8.2,5.7,5.7,1.6,0.8,1.6,2.5,1.6,4.1,5.7,6.6,25.4,22.9,13.9,5.7,5.7,2.5,0,0,0,0,0,0.8
419500,425500,"Spenborough U.D.","Spenborough U.D.",0,3.5,7.1,5.3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,3.5,14.1,22.9,31.7,40.6,17.6,5.3,5.3,0,0,1.7,0,0,0,7.1,1.8,26.5,17.6,0,5.3,3.5,0,1.8,0,0,0,0
